"CARD_NAME","MOVIE","SHOPPING","COMMUNICATION","EDUCATION","HYPERMART","MAINTENANCE","AUTOMOBILES","MEDICAL","CULTURE","FINANCE","AIR_MILEAGE","CAF?_BAKERY","ALWAYS_DISCOUNT","VOUCHER","PRIORITY_PASS","PREMIUM","OIL","PUBLIC_TRANSPORTATION","ANNUAL_FEE_SUPPORT","EAT_OUT","LEISURE","POINT_CASHBACK","EASY_PAY","BEAUTY","NATIONAL_VOUCHER","CVS"
"MULTI ON",,0.02,,,,,,,0.04,,,,0.07,,,,,,,0.03,,,0.01,,,
"MULTI Any",,0.02,,,0.02,,,,,,,,0.07,,,,,0.04,,0.03,,,0.01,,,
"MULTI Oil",,,,,,,,,,,,,,,,,0.1,,,,,,0.01,,,
"MULTI Young",,,0.1,,,0.01,,,0.3,,,,,,,,,0.1,,0.1,,,0.01,,,0.1
"MULTI Living",,0.1,0.05,,0.1,0.05,,,,,,,,,,,0.1,,,,,,0.01,,,
"통커 카드",,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,
"모두의 건강",,0.05,,,0.05,,,0.05,,,,,,,,,,,,0.05,0.05,,,,,
"모두의 쇼핑",,0.1,,,0.05,,,,,,,,,,,,,,,,,,,,,
"CLUB SK (클럽SK)",0.3,,0.1,0.1,0.1,,,,,,,,,,,,0.1,0.07,,0.1,,,,,,
"CLUB Primus Skypass",,,,,,,,,,,0.1,,,,,,,0.1,,,,,,,,
"Mile 1.6 대한항공",0.4,,,,,,,,,,0.144,,,,,,,,,,,,,,,
"Mile 1.6 아시아나",0.4,,,,,,,,,,0.02,,,,,,,,,,,,,,,
"my pass 마패 카드",,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.1
"CLUB Signature SKYPASS",,,,,,,,,,,0.02,,,,,,,,,,,,,,,
"My Trip SKYPASS 카드",,,,,,,,,,,,,,,,,,,,,0.05,,,,,
"My Trip AsianaClub 카드",,,,,,,,,,,,,,,,,,,,,0.05,,,,,
"하나 국민행복카드",,,,,,,,0.05,,,,,,,,,,,,,,,,,,
"Any PLUS (애니플러스)",0.07,0.007,0.007,0.007,0.007,,,0.007,0.007,,,,0.007,,,,0.007,0.007,,0.007,0.007,,,0.007,,0.1
"CLUB Signature Asiana Club",,,,,,,,,,,0.03,,,,,,,,,,,,,,,
"CLUB PREMIER 카드 [Hotel]",,,,,,,,,,,,,,,,,0.07,0.2,,,,0.015,,,,
"Smart Any (스마트애니)",,0.014,,,,,,,,,,,0.008,,,,,,,,,,,,,
"CLUB PREMIER 카드 [Travel]",,,,,,,,,,,,,,,,,,0.2,,,,0.015,,,,
"모두의 신세계 하나카드",,0.05,,,,,,,,,,,,,,,,0.2,,,0.3,,0.05,,,
"하나 BC 그린카드 [전국형]",,,,,,,,,,,,,0.005,,,,,0.01,,,,,,,,
"1Q Daily+ (원큐 데일리플러스)",,0.05,0.05,,,0.05,,,,,,,0.01,,,,0.03,0.05,,,,,,,,
"1Q Shopping+ (원큐 쇼핑플러스)",,0.04,0.1,,0.04,,,,,,,,0.1,,,,0.006,0.1,,,,,,,,
"1Q Special+ (원큐 스페셜플러스)",,0.1,0.1,,0.4,0.1,,,,,,,,,,,0.05,0.1,,0.05,,,,,,
"1Q Global VIVA (원큐 글로벌 비바)",0.5,,0.1,,,0.1,,,,,,,,,,,,0.1,,,,,,,,
"#tag1카드 Navy (태그원카드 네이비)",0.4,0.1,0.1,0.1,0.05,0.1,,,,,,,,,,,0.04,,,0.01,0.5,,,,,
"#tag1카드 Orange (태그원카드 오렌지)",0.4,0.1,0.1,,,,,,,,,,,,,,0.04,0.07,,0.1,0.5,,,,,0.1
"하나멤버스 1Q카드 내맘대로 생활형",0.5,0.05,0.05,0.05,0.07,,,,0.07,,,,,,,,,0.05,,,,,,,,
"하나멤버스 1Q카드 내맘대로 여행형",0.5,0.05,0.05,,,,,,,,0.1,,,,,,,0.05,,,,,0.07,,,
"하나멤버스 1Q카드 내맘대로 웰빙형",0.5,0.05,0.05,,0.07,,,0.05,,,,,,,,,,0.05,,,0.07,,,,,
"하나멤버스 1Q카드 내맘대로 직장인형",0.5,0.05,0.05,,,,,,,,,,,,,,0.07,0.05,,0.07,,,,,,0.07
"하나멤버스 1Q카드 내맘대로 트렌디형",0.5,0.05,0.05,,,,,,,,,,,,,,,0.05,,0.3,,,,,,
